yf,40892
fn,21948
nf,38673
fi,84999
if,50930
aa,77600
an,701562
no,145166
ot,137310
th,174600
hi,140777
in,482667
ng,199809
bb,53579
be,166851
ea,175876
at,276100
tl,37738
le,360207
es,278317
bi,127587
il,216463
ll,251599
ly,75213
yr,26634
ra,350362
ay,99140
bp,11069
pr,65744
re,338387
ev,87321
va,111600
tt,112725
te,312923
br,109417
ro,274653
ow,87373
wn,20873
ni,216302
bu,100542
ul,87108
lm,30108
ma,459161
as,378635
st,331724
ti,198673
ff,57720
ur,119101
rr,76347
ry,65872
cc,48358
cr,67177
ru,99252
ui,47606
is,222319
se,215712
er,791589
dc,25502
ch,268392
hr,35992
rl,70513
cl,43861
lx,5037
xv,5915
vi,112281
dd,59932
de,225230
ec,86720
ck,197643
di,153556
iv,53236
ve,186850
dz,14023
zd,10458
ag,111416
gl,39447
eo,42197
on,421405
ne,257546
ee,162442
gg,57457
go,129921
or,319690
rd,131563
do,171118
gr,70323
wl,10589
gu,63610
lf,41543
ha,282473
ak,107424
ka,180754
ho,171030
ol,230888
lt,44587
ii,20843
jo,86317
oe,38262
el,291054
oh,38946
hn,31859
na,269441
ar,510004
lo,252982
oo,194596
op,93331
pm,12319
me,223165
rk,60461
ky,51391
ys,48823
mr,25133
rb,49698
mu,61571
us,179463
ta,254999
po,123857
pp,64835
pu,55793
ss,211693
sy,45154
sh,214202
nt,169169
ie,191814
tr,146805
ri,309735
ik,116068
ke,187802
em,118668
ig,122255
ge,173803
nc,76863
cu,46748
up,48439
wa,94240
wi,71590
ns,94944
to,206002
wo,79949
od,88965
dy,55939
yy,16326
zz,45942
pa,196710
sw,63317
ym,30107
mo,177943
nd,201320
sp,80800
py,27324
yc,23620
ca,202024
am,251414
wh,25039
al,346469
ab,128287
bc,35627
cd,22102
ef,44644
az,82662
zn,9589
au,68978
bg,11887
en,334748
nu,47990
gt,24208
it,191532
ts,66513
by,60590
yd,27940
dr,96049
la,297937
he,220456
vy,13856
co,202965
ou,108139
rc,55526
ci,57873
yi,11056
cs,21314
sn,35151
nh,31984
hc,12430
ga,132883
hh,16723
om,143708
rj,32944
hp,10518
ce,121882
ty,119582
je,64693
fa,86837
kk,29532
su,100313
un,137086
ex,74445
xi,22989
ic,207423
mi,189736
mm,68182
nn,119044
pl,53401
ac,165454
qq,21256
ed,154847
ds,48185
sk,62916
ki,153566
yl,41853
rs,116171
si,141792
uu,12428
vv,13215
ww,19497
xx,46884
nx,9356
ya,86561
sm,55396
za,65136
aq,18594
qw,64267
ws,31563
sx,22174
xc,24769
rf,74618
gi,87294
im,124124
my,46237
rn,67001
nj,36060
tu,72811
ud,55360
io,91751
iu,21866
um,72685
lb,33941
bf,9989
fy,40088
we,125114
rt,158617
dw,18920
ld,58427
kh,18656
hf,28576
so,125652
ph,55734
cn,26943
ba,207521
ai,111031
ey,122230
bo,171655
da,212894
ir,134850
ut,90948
wq,8958
qa,30279
tk,25969
kg,9217
gx,6049
av,90428
bm,14354
mw,11435
lu,89675
uv,15893
vl,13254
gn,22008
np,13853
ua,42163
mn,17342
lk,31215
ko,99963
ov,117204
uc,86460
mb,54731
jc,19031
cw,8048
wu,9973
ub,49733
bv,17486
vt,14461
id,95541
yx,10212
ij,16933
jb,11231
bw,9448
fv,19945
dj,22608
jp,11141
bx,9010
cy,21524
yt,31810
hm,19465
mh,10599
tb,28227
ok,82337
yg,17828
gm,18661
of,38303
et,183649
fo,65080
ox,26926
fb,11066
bq,8967
qi,6562
eb,69671
uq,6889
md,18501
dk,15684
rv,24991
du,54089
bz,13729
zp,7032
yb,44138
li,285733
sa,206021
mv,8887
cb,22913
pf,13755
vw,6037
wd,11677
dp,13248
pg,8569
gz,6519
wj,8439
ja,109145
wf,9099
pe,159200
sc,82875
ia,151091
ug,43845
vo,41523
oc,92349
fg,30241
dh,18706
fk,25401
ei,62045
kc,13475
ib,39251
eu,29376
hg,12906
kw,10420
yu,30624
tm,37055
mc,24563
yj,24427
uy,18604
ew,59797
yw,13072
ax,38896
xe,19873
os,138322
ad,188106
pi,100103
hu,73049
qv,5131
pk,13741
kt,33049
ju,52865
ah,61244
gh,67690
oz,20864
ze,44392
rh,24566
dn,18588
aw,45657
ip,60027
dl,24682
yk,15528
ks,55369
lg,18197
df,58379
gd,21216
vn,8966
fh,35737
ht,43249
tz,16790
hy,27084
tn,32101
aj,29336
wb,16494
oy,56147
db,29838
bl,87486
wx,6237
xb,11016
sf,16281
ae,40267
rg,57511
jk,35828
kj,21607
jl,12758
lr,13037
wk,11888
kf,23214
mp,60466
vm,8161
wr,14171
tc,37637
sl,50061
jx,10829
cj,14774
jd,30691
dt,23985
ue,54062
zy,20888
iz,38666
og,82607
mf,10463
fj,8762
jt,9312
ez,29002
zu,16779
yh,14804
nk,84805
ob,87603
yz,16366
zi,33450
nm,29177
uo,10244
oi,34451
cp,10623
vg,11244
jr,18793
qx,5396
zs,8317
zx,29433
dx,7952
xh,6380
hb,35289
qm,5094
ih,16545
uf,32355
kb,26545
xg,6278
gb,26937
kl,35676
ep,65067
eg,68738
ap,90550
tq,9723
jj,16989
ye,41573
mj,11515
pj,9261
gp,11278
px,5516
xd,9111
dg,26009
fc,26282
pv,7368
vk,9534
cg,11296
hs,16957
vj,14039
jh,26009
hv,9860
xp,11361
fu,61870
kr,32952
ix,26480
xl,6463
eh,34347
lp,23083
rp,33044
qk,5418
lv,25053
nl,19298
fr,79830
sr,18235
lc,24049
fl,50491
sd,50397
vs,13410
sb,21880
zt,7764
oj,17261
yo,48848
ms,38489
fe,77144
bn,24825
bd,19040
dv,12904
hx,7498
xs,14849
jg,12629
gj,17133
sq,13736
oa,35277
nb,36448
xm,10214
gf,28864
fd,22408
uh,17843
yq,6410
pw,9052
wc,8917
cx,9533
ny,64054
rx,9307
nw,12196
cm,15398
ej,21991
sz,11942
bs,22617
pt,23867
rm,61678
xw,7205
lz,9090
zo,28314
fs,13496
pd,11424
hl,19528
iw,12533
xn,6745
fm,10077
ku,38091
tj,13062
jf,9005
gs,29592
xr,15152
vf,36362
dm,29602
lh,15604
hq,5233
qs,6481
ln,13527
jn,14647
bk,17212
qf,4887
mq,5054
lq,4357
kp,10995
pb,11667
bt,11083
vd,8918
fw,8525
tg,16467
mk,14483
lj,15865
jy,18209
ao,21169
ux,12317
xz,9183
zc,8090
iq,9753
hd,13715
dq,6167
vr,12826
bj,11183
jv,12222
tp,16138
kq,5194
qj,4861
gc,10900
qn,5187
ek,57863
ct,44511
wy,11506
yn,37020
gk,10885
cf,20621
nz,22902
kd,13919
xu,9869
ft,22504
ps,35985
uk,36275
ls,51727
pz,6535
zr,8813
rz,12069
sv,18125
gy,19987
hk,23356
af,44653
qb,4938
qc,5830
tf,16151
rw,17853
fx,8276
kn,21761
vx,5590
nr,21403
wt,11484
sg,15804
ml,12963
rq,6776
cq,6321
jm,12595
hj,37306
js,12051
qz,5149
zj,5355
tw,25125
qg,5500
gw,10374
xk,6111
uw,8736
xy,19570
qp,5578
vh,6799
qt,5308
mz,10179
fp,11128
nq,6284
xj,5959
zv,7842
qy,6292
pc,13374
vu,10341
uj,19411
vz,6995
mg,12073
bh,19873
qr,6831
jq,7344
xa,24538
vc,10433
qu,37202
zl,8876
km,38017
wm,11902
xt,18724
zf,6286
vb,25461
qd,5525
xq,4915
cv,19245
uz,20706
zb,7630
zm,11500
yp,19487
kz,13383
tv,14826
mt,16463
fz,10270
zh,14086
pn,10211
ji,31486
qe,7753
jw,7472
sj,11774
zk,8937
iy,17797
kv,9144
hw,9666
zq,5874
lw,9625
wp,8869
gq,4866
wz,5977
wg,9586
mx,7745
qo,5401
zw,13016
td,24624
cz,12071
vq,4645
pq,5633
kx,6234
oq,6584
yv,9494
tx,10234
wv,5395
nv,13158
jz,6065
zg,7088
fq,8894
xf,10232
xo,11578
eq,11615
qh,4883
gv,7505
vp,7267
hz,6698
ql,4311
